Topic,Difficulty Level,Question Text,Answer Choice 1,Answer Choice 2,Answer Choice 3 (optional),Answer Choice 4 (optional),Correct Answer
Problem Management Difficult,Difficult,<div>A problem manager wants to validate whether a corrective action implemented six weeks ago — a new rate-limiting policy on an API gateway — has been effective. The CAPA goal was to reduce API-related P2 incidents by 50%. Which approach best demonstrates effectiveness validation?</div>,Compare P2 API incident frequency pre- and post-implementation against the baseline and confirm absence of the specific failure pattern,Confirm with the engineering team that the rate-limiting config was deployed to production and signed off by the change manager,Request vendor attestation that the API gateway rate-limiting feature is functioning as designed per the product specification,Check that the original problem record is closed and no new problem records reference the same CI within the six-week window,Choice 1
Problem Management Difficult,Difficult,<div>A CAPA item to implement automated certificate expiry alerting has been open for 47 days. The assigned owner reports the tooling dependency is blocked on a vendor contract renewal. Two further certificate-related incidents have occurred in that window. What governance action should the problem manager take at this point?</div>,"Escalate to senior management with a risk statement, document the vendor dependency as a formal blocker, and agree an interim detective control",Transfer ownership to the vendor relationship manager and remove the item from the problem management tracking register,Accept the delay as reasonable given the external dependency and defer escalation until the contract renewal window closes,Close the CAPA and raise a new one with a revised due date to reset the aging clock and reflect the current vendor situation,Choice 1
Problem Management Difficult,Difficult,"<div>After a major incident, the problem manager receives a bridge call summary, an event timeline, and a list of actions taken. Two change records were raised during the incident window but were never correlated in the incident record. What is the most important artifact to produce to ensure the handoff is investigation-ready?</div>",A communication requiring the bridge summary to be rewritten to include change references before handoff is accepted,A CAB review request asking them to assess both changes for potential incident contribution,An updated incident record adding both change references and marking it as pending RCA closure,"A structured problem record linking the incident, both change records, scope, an assigned investigator, and a target RCA date",Choice 4
Problem Management Difficult,Difficult,<div>A CAB meeting is two days before a major platform release. An open problem exists for a memory leak in a microservice within the release scope; the workaround is a nightly scheduled restart. What is the problem manager's most critical CAB input?</div>,A request to defer the CAB until RCA is complete and the fix is validated in staging,"A risk statement that root cause is unresolved, the workaround has operational dependencies, and releasing increases customer-impact exposure","Confirmation that the nightly restart has been stable for 14 days, sufficiently mitigating release risk",A recommendation to close the problem record before the CAB to avoid conflating problem and release risk items,Choice 2
Problem Management Difficult,Difficult,"<div>An RCA concluded a misconfigured TLS certificate renewal job caused two outages and a corrective action was applied, but no Known Error record was created. A third outage now occurs with an identical signature. What process failure does this most directly expose?</div>",The corrective action was not validated in staging before production deployment,"No Known Error record meant resolvers lacked a documented workaround and symptom fingerprint, causing repeated slow response","The problem record should have been closed after the corrective action, preventing duplicate records",The incident team failed to escalate to the problem manager quickly enough during the third outage,Choice 2
Problem Management Difficult,Difficult,"<div>A production API intermittently returns HTTP 502 errors under peak load. Restarting the upstream load balancer restores service, but root cause is undetermined. Which classification and next step are most appropriate?</div>",Close the incident as resolved since the workaround consistently restores service,Promote directly to a Known Error record since a repeatable workaround already exists,"Keep an open problem record, document the restart as a Known Error workaround, and continue RCA","Convert to a change request to automate the restart, bypassing further problem investigation",Choice 3
Problem Management Difficult,Difficult,<div>A resolver team claims a third-party API latency spike caused an outage because the latency graph and error rate graph peaked simultaneously. The problem manager must challenge this conclusion. Which line of questioning is most appropriate?</div>,"Ask whether the latency spike preceded the error rise, what the baseline is, and whether an internal change could independently explain the errors",Flag the third-party API as a release risk item at the next CAB meeting and defer further RCA,Request the vendor's post-incident report and close the problem record once it is received,Accept the simultaneous peaks as sufficient causal evidence since two independent graphs align,Choice 1
Problem Management Difficult,Difficult,"<div>A problem manager is building a timeline for a database failover failure using incident records, monitoring alerts, a deployment event, and an automated config backup that ran two hours before the outage. Which approach best represents hypothesis-driven RCA?</div>","Form a hypothesis that the deployment or config backup caused a state change, then test each against the timeline evidence",Identify the monitoring alert as the root cause because it was the first signal to fire in the timeline,Collect all artifacts and wait for a pattern to emerge across three more incidents before forming any hypothesis,"Treat the deployment event as root cause by default, since changes are the most common production outage source",Choice 1
Problem Management Difficult,Difficult,"<div>A trend review reveals 14 incidents over six weeks sharing the same CI, each closed as unrelated by different teams. No problem record exists. An audit flag shows configuration drift on the same CI. What is the correct problem qualification action?</div>",Reopen all 14 incidents and reassign them to a single resolver team for consolidated investigation,Wait for a further P1 on this CI before formally opening a problem record,Raise a problem record linking the 14 incidents and include the audit drift flag as a contributing signal,Escalate the configuration drift finding to the CAB without creating a problem record,Choice 3
Problem Management Difficult,Difficult,"<div>A P1 payment gateway outage is resolved via workaround, root cause unknown. Three similar incidents occurred in the past 90 days. Which factor should carry the most weight when prioritizing this problem against other open problems?</div>",SLA breach history and ticket age of the originating incidents,"Recurrence frequency, business impact severity, and absence of a permanent fix",Number of resolver groups engaged during the major incident bridge,Time to restore service and total support staff involved,Choice 2
Problem Management Medium,Medium,<div>A known error for a middleware memory leak has been open six months with a documented workaround. A vendor patch is confirmed for the next quarterly release. A new incident occurs from the same defect. What is the most appropriate problem management action?</div>,Raise a new problem record and treat this incident independently from the existing known error,Close the known error record since the vendor has confirmed a fix in the next release,Escalate to the service owner to negotiate an emergency patch outside the vendor's quarterly cycle,"Keep the workaround accessible, update the known error with the patch timeline, and track delivery as a corrective action",Choice 4
Problem Management Medium,Medium,"<div>A problem manager raises five corrective actions after RCA. Three weeks later, two are overdue, one has no owner, and none have effectiveness criteria defined. Which governance gap most directly undermines the CAPA process?</div>",The problem record exceeded the target resolution SLA defined in policy,Corrective actions were not reviewed by CAB before being assigned to teams,Actions were assigned to operational teams rather than senior architects,"Actions lack defined owners, target dates, and measurable effectiveness criteria",Choice 4
Problem Management Medium,Medium,<div>API gateway timeouts cluster in the 48-hour window after each fortnightly release. The release team argues releases are low-risk and fully tested. What is the most appropriate problem management action to support CAB decision-making?</div>,Request all releases be delayed until the timeout problem is formally closed,Raise a known error and reapply the existing workaround after each release,Escalate to the change manager to enforce a release freeze while the problem remains open,Correlate incident trend data with specific release contents and present this as risk input to CAB,Choice 4
Problem Management Medium,Medium,<div>A major incident on a cloud-hosted order management system is resolved with a workaround. The incident commander hands off to the problem manager. Which artifact is most critical to begin an effective root cause investigation?</div>,Closure notes confirming service restoration and affected user count,Escalation log showing teams paged and acknowledgement times,Customer satisfaction scores and SLA breach notifications sent to stakeholders,"Structured incident timeline of changes, alerts, actions, and the workaround applied",Choice 4
Problem Management Medium,Medium,"<div>Every time a batch job runs at 02:00, API response times degrade by 40%. The infrastructure team argues this proves the batch job causes ongoing daytime API latency. What is the most appropriate challenge?</div>",Accept the correlation as sufficient since the pattern is consistent and repeatable across multiple runs,Check whether daytime latency shares the same resource contention profile as the 02:00 degradation,Confirm API latency only degrades during the 02:00 window to rule out all other daytime factors,Raise a change to reschedule the batch job and monitor for recurrence as the validation step,Choice 2
Problem Management Medium,Medium,"<div>An RCA timeline shows a config change two hours before a 90-minute DB failover, slow query alerts 30 minutes before, and an autoscaling event just as failover triggered. How should the investigation be structured?</div>",Form evidence-led hypotheses for each signal and systematically validate or eliminate each using data,Treat the autoscaling event as root cause since it directly preceded the failover trigger,Escalate to the vendor immediately since autoscaling and failover indicate a platform defect,Identify the most recent event as root cause and work backward only if evidence is absent,Choice 1
Problem Management Medium,Medium,"<div>Similar degradation events occurred three times last quarter, monitoring alerts fired each time, but no problem record was raised — until a major outage finally occurred. Which trigger mechanism was most clearly underutilized?</div>",Proactive problem identification driven by trend analysis of recurring monitoring signals,Known error identification initiated after a workaround was applied during an incident,Reactive problem identification triggered from a single resolved major incident record,Audit-driven problem identification initiated from a compliance review finding,Choice 1
Problem Management Medium,Medium,"<div>A problem manager has three open problems: one from a P1 payment outage, one from recurring disk I/O alerts, and one from an audit finding on access control. What should most heavily drive their prioritization?</div>",Team ownership and available engineering capacity for each problem,"Combined business impact, recurrence likelihood, and risk exposure of each problem","Technical complexity of the root cause, prioritizing simpler problems first","Date each problem was raised, ensuring oldest records are addressed first",Choice 2
Problem Management Medium,Medium,"<div>An authentication service accounts for 38% of all P2 incidents last quarter, yet no problem record exists. The service team claims each incident had a different immediate cause. What is the strongest argument for raising a problem record?</div>",The service team's lack of documentation represents a governance compliance violation requiring escalation,Incident concentration in one service suggests a systemic weakness warranting structured investigation,"Different immediate causes indicate multiple unrelated defects, each needing a separate problem record","The incident volume exceeds the SLA threshold, contractually obligating the team to open a problem record",Choice 2
Problem Management Medium,Medium,"<div>A known error for a middleware defect has been open four months. The vendor released a patch, but it hasn't been applied, and the workaround causes daily manual effort. What is the correct next action?</div>",Keep the known error open until the vendor confirms the patch is fully regression-tested in production,"Raise a change request to apply the patch, set a closure date, and notify affected stakeholders",Close the known error since vendor acknowledgment confirms the defect is resolved externally,Convert the known error back to a problem record and restart RCA with the vendor's formal confirmation,Choice 2
Problem Management Medium,Medium,<div>A CAPA log shows two corrective actions 45 days overdue with no owner update and one blocked on a third-party vendor. What is the problem manager's most appropriate governance action?</div>,Extend all target dates by 30 days and schedule a single review at the end of the extension,Close the overdue actions and reopen them as new records to reset the CAPA dashboard aging clock,"Escalate overdue items to owners' management, formally engage the vendor, and update risk exposure",Transfer all three actions to the service desk team to ensure a faster daily follow-up cadence,Choice 3
Problem Management Medium,Medium,"<div>Six weeks after a corrective action was implemented to fix a memory leak causing weekly service restarts, the same restarts begin occurring again. What does this most likely indicate?</div>",The recurrence is unrelated to the original problem and should be treated as a new incident,"Monitoring thresholds were set too sensitively after the fix, causing false-positive restart triggers",The corrective action addressed a contributing factor rather than the true root cause,The fix was deployed incorrectly and should be rolled back using the original change procedure,Choice 3
Problem Management Medium,Medium,<div>A problem record identifies a configuration management defect as root cause of three incidents. The corrective action requires a production change. What is the problem manager's key responsibility in the change process?</div>,"Approve the change directly via emergency process, since a confirmed root cause justifies bypassing standard CAB review","Provide the CAB with the RCA findings, risk of inaction, and confirmation the fix targets root cause not symptoms",Defer the change to the next maintenance window regardless of recurrence risk to avoid peak-hours instability,"Hand the change entirely to the change manager and disengage, as problem accountability ends when corrective action is logged",Choice 2
Problem Management Medium,Medium,<div>A major incident resolves after 3 hours and the incident commander hands off to the problem manager to begin RCA. Which artifacts should the problem manager specifically require at handoff?</div>,"Post-incident stakeholder communications, SLA breach calculation, and the customer-facing impact statement","Incident ticket number, severity rating, and resolver name to schedule the RCA meeting with the right attendees","On-call rota, escalation chain used during the bridge, and resolver notes from the incident management tool","Incident timeline, all mitigation actions taken, changes deployed in the preceding window, and affected component list",Choice 4
Problem Management Medium,Medium,"<div>An RCA team hypothesises that a backup job competes for I/O resources, causing storage latency. The evidence is timing correlation only — no throughput metrics were captured. What is the problem manager's most important challenge?</div>","Document the hypothesis as a known error and close the record, noting evidence can be added if the issue recurs",Escalate to the storage vendor immediately so they can confirm root cause using their internal diagnostics,Request I/O throughput and queue-depth metrics during the next backup window to validate or refute the hypothesis,"Accept the hypothesis as confirmed, since timing correlation with backup windows is sufficient evidence operationally",Choice 3
Problem Management Medium,Medium,<div>A database cluster failover caused 90 minutes of degraded service. Alerts fired 12 minutes before user impact; a network change was deployed 4 hours prior. Which approach best identifies contributing factors?</div>,"Focus exclusively on the network change, as changes within a 24-hour window are the most common cause of outages","Correlate alert timeline, change events, and incident signals chronologically to identify causal chains and rule out coincidence","Interview the on-call engineer before reviewing logs, as firsthand accounts are more reliable in complex failure scenarios","Run parallel independent investigations on the network change and database logs, then compare at the final RCA review",Choice 2
Problem Management Medium,Medium,<div>An incident is raised for a payment gateway timeout. Investigation reveals the same failure mode is already covered by an existing known error record with a documented workaround. What is the correct action for the incident team?</div>,Treat it as a new problem trigger and bypass the known error database until the fix is verified in staging,"Apply the documented workaround, link the incident to the known error record, and escalate for permanent fix prioritisation","Close the incident and merge it into the problem record, triggering re-investigation to update root cause documentation",Open a new problem record to independently track this occurrence and preserve a separate compliance audit trail,Choice 2
Problem Management Medium,Medium,"<div>A configuration drift causing recurring degradation is found during an incident bridge. A workaround restores service, but the permanent fix needs three weeks. Which record type correctly captures the unresolved root cause?</div>",Keep the incident record open with the workaround in the resolution field until the permanent fix is deployed,"A known error record with confirmed root cause, documented workaround, and resolution timeline linked to the problem","A change record embedding the workaround in the implementation plan, linked to the original incident for traceability",A risk register entry flagged to the CAB with the workaround listed as an accepted interim control measure,Choice 2
Problem Management Medium,Medium,"<div>Monitoring flags a 15% rise in API timeout errors across three microservices over two weeks, and an audit surfaces a risk item on the same layer. Which factor should most heavily drive priority for the resulting problem record?</div>","Age of the audit risk item, since older unresolved risks indicate systemic neglect and warrant higher priority","Number of distinct monitoring alerts fired, as alert volume directly reflects operational urgency in the problem queue","Combined business impact, likelihood of major-incident escalation, and existing risk exposure from the audit","Available team capacity, since priority should reflect what can realistically be resolved within the current sprint",Choice 3
Problem Management Medium,Medium,"<div>A high-severity incident resolves but root cause is unclear, with two similar outages in 60 days. As problem manager, what is the most appropriate first action to qualify a formal problem record?</div>",Escalate to the change manager to review recent changes before deciding whether a problem record is warranted,Wait for a third occurrence to establish statistical significance before formally opening a problem record,Open a problem record immediately based solely on the latest incident ticket and assign to the platform team,"Review incident history, confirm recurring pattern, assess business impact, and check for duplicate problem records",Choice 4
Problem Management Easy,Easy,"<div>Six months after a Known Error record was raised for a database deadlock issue, a workaround was published. A problem manager is now reviewing the record for closure. What is the primary criterion for formally closing the Known Error?</div>",The vendor has acknowledged the defect and committed to a fix in the next scheduled product release.,"A permanent fix has been implemented, verified in production, and recurrence data confirms the issue is resolved.",The workaround document has been published and no new incidents have been raised in the past 30 days.,The originating incident has been closed and the service owner has provided formal sign-off.,Choice 2
Problem Management Easy,Easy,<div>A corrective action to patch a vulnerable API endpoint was logged three months ago with an owner and target date. The date has passed and the patch has not been applied. What is the problem manager's most appropriate governance action?</div>,Transfer CAPA ownership to the security team without notifying the original owner to avoid conflict.,"Escalate the overdue CAPA to the owner's management, document the delay reason, and reset an agreed closure date.",Close the CAPA and reopen a new record with a revised date so the tracker reflects current status.,Remove the CAPA from the tracker and raise it as an audit finding in the next quarterly review cycle.,Choice 2
Problem Management Easy,Easy,"<div>A problem manager confirms a root cause linked to a misconfigured load balancer setting introduced in a recent release. When feeding this finding back into the change process, what is the most valuable contribution the problem manager can make?</div>",Request that the release manager cancel all pending releases until the load balancer vendor is replaced.,Update the incident record's closure category from 'infrastructure' to 'release' to correct historical reporting.,Log a new incident ticket against the load balancer team and escalate to senior management for accountability.,Provide a CAB risk input flagging load balancer configuration changes as requiring enhanced pre-deployment validation.,Choice 4
Problem Management Easy,Easy,<div>A major incident bridge is closed after a P1 outage is resolved. The incident manager hands over to the problem manager. Which artifacts are most critical for the problem manager to receive at handoff to begin an effective problem investigation?</div>,Monitoring dashboard screenshot at peak impact and the service owner org chart for escalation.,"Incident ticket closure note, affected user list, and service desk satisfaction survey results.","Post-incident review meeting invite, on-call rota, and vendor SLA breach notification.","Incident timeline, applied workarounds, change records deployed near the outage, and a symptom summary.",Choice 4
Problem Management Easy,Easy,"<div>A problem manager finds that two microservices show increased latency every time a third service deploys a new release — consistent across six months of data. Before concluding root cause, what challenge function should the problem manager apply?</div>",Request that the third service team rewrite their deployment pipeline using a blue-green strategy,Check whether the latency increase also occurred during periods when the third service did not deploy,Freeze all deployments of the third service across all environments pending further investigation,Accept the six-month correlation as sufficient proof and document the third service as root cause,Choice 2
Problem Management Easy,Easy,"<div>During an RCA, three separate services begin throwing 503 errors within 90 seconds of each other following a network config change pushed at 14:00. What is the most effective first step to form a coherent investigation hypothesis?</div>",Request an immediate rollback of the network change before gathering any further evidence,Survey service owners to confirm whether the 503 errors are related before reviewing any logs,Build a chronological timeline correlating the 14:00 change deployment with each service's error onset,Raise separate problem records for each service to maintain independent RCA tracks,Choice 3
Problem Management Easy,Easy,"<div>A problem manager receives three concurrent candidates: a P1 incident recurrence affecting payment processing, an intermittent login timeout affecting internal staff, and a cosmetic UI bug reported by five users. Using impact and risk-based prioritization, which problem should be addressed first?</div>","The P1 payment processing recurrence, due to highest business impact and financial risk","The cosmetic UI bug, because five user reports signal widespread dissatisfaction across the platform",All three problems logged simultaneously and assigned equal priority for parallel investigation,"The intermittent login timeout, because authentication failures indicate a potential security breach",Choice 1
Problem Management Easy,Easy,<div>A monitoring system flags recurring disk I/O spikes on a production database server every weeknight between 10 PM and midnight. No incident ticket has been raised. What is the most appropriate immediate action to qualify this as a problem worth investigating?</div>,Suppress the alerts in the monitoring tool and mark them as known noise pending further review,"Correlate the alert pattern with scheduled batch jobs, assess business impact, and log a formal problem record",Raise an incident ticket and wait for user-reported impact before creating a problem record,Escalate directly to the hardware vendor for diagnostics without logging a problem record,Choice 2
Problem Management Easy,Easy,"<div>During an RCA for intermittent API timeouts, a Problem Manager finds timeouts correlate with database connection pool exhaustion, but a config change was also deployed that day. A colleague argues the config change is definitely the cause. What is the correct challenge-function response?</div>",Escalate the disagreement to the service owner and pause the RCA until a decision is reached,"Gather evidence that the config change directly caused pool exhaustion, separating correlation from causation",Accept the colleague's assessment and document the config change as confirmed root cause immediately,Roll back the config change before completing any further evidence gathering,Choice 2
Problem Management Easy,Easy,"<div>A risk audit has flagged that a legacy authentication service has had no security patches for 18 months and poses an exposure risk. No incidents have occurred yet. Should a problem record be raised, and on what basis?</div>",No — problem management only applies after incidents have already occurred in production,Yes — but only after an incident confirms the vulnerability has been actively exploited,"Yes — as a proactive problem triggered by audit and risk findings, before incidents materialise","No — security vulnerabilities belong on the risk register, not in problem management",Choice 3
Problem Management Easy,Easy,"<div>Three months after a CAPA was implemented to add proactive disk-usage alerts, the Problem Manager must validate whether the action was effective. Which evidence best demonstrates the corrective action achieved its intended outcome?</div>",Reduction in disk-related incidents and evidence that alerts fired before any outage recurred,Stakeholder sign-off on the CAPA closure form submitted by the implementation team lead,Confirmation that the alert configuration was peer-reviewed and approved at deployment time,No new problem records raised against the same service in the following quarter,Choice 1
Problem Management Easy,Easy,<div>A CAPA item was raised six weeks ago to implement automated certificate expiry alerting after a service outage. The assigned owner has not provided a status update. Which governance step should the Problem Manager take first to drive accountability?</div>,"Review the CAPA record, confirm ownership and due date, then formally chase the owner for a status update",Mark the CAPA as on hold and defer review until the next quarterly service review meeting,Close the CAPA and reopen it as a new action item with a revised due date and no owner change,Escalate immediately to the CIO and request that the CAPA be reassigned to a senior engineer,Choice 1
Problem Management Easy,Easy,"<div>A known error for TLS certificate renewal failure is documented with a manual renewal workaround, and a permanent fix is scheduled in the next release. What is the Problem Manager's responsibility toward the CAB before that release?</div>",Submit the known error as a risk input to the CAB's release readiness assessment,Attend the CAB meeting and vote to block the release until the fix reaches staging,Close the known error before the CAB meeting so the release proceeds cleanly,Transfer known error ownership to the release manager for the release cycle,Choice 1
Problem Management Easy,Easy,<div>A major incident has been resolved and the incident manager is handing off to the Problem Management team. Which artifacts should be in a well-formed handoff package to enable effective investigation?</div>,"Customer satisfaction survey, SLA breach report, and service credit calculations","CAB minutes, release schedule, and upcoming maintenance windows","Incident timeline, impact summary, contributing changes, and initial hypothesis notes","Problem manager contacts, on-call rota, and escalation path documentation",Choice 3
Problem Management Easy,Easy,"<div>CPU spikes on a database cluster now correlate with nightly batch jobs, yet identical jobs ran without issue for six months. Which line of questioning most effectively challenges whether the batch job is truly the root cause?</div>",How many incidents were raised during the six months the batch ran cleanly?,Why was the batch job not disabled after the first CPU spike?,Which team owns the batch job and who approved its production deployment?,"What changed in the batch job, data volume, or cluster config since it last ran cleanly?",Choice 4
Problem Management Easy,Easy,"<div>A Problem Manager is building an outage timeline: a deployment completed at 13:55, customer errors began at 14:00, and alerts fired at 14:02. Which analytical step is most critical before forming a root-cause hypothesis?</div>",Close the incident once the timeline shows when errors first appeared,Request a vendor audit of the monitoring tool's alert thresholds,Correlate the deployment event with error and alert timestamps to test causation,Assign corrective actions to the deployment team before the review concludes,Choice 3
Problem Management Easy,Easy,"<div>A post-incident review confirms a memory leak in middleware caused three P2 incidents over 30 days. No permanent fix exists, but a 24-hour restart prevents recurrence. Which action best reflects correct problem and known-error lifecycle management?</div>",Keep problem open; raise Known Error with restart workaround documented,Close problem record and link incidents to the relevant change request,Raise a new incident each time the restart is performed,Escalate to major incident status until a code patch is delivered,Choice 1
Problem Management Easy,Easy,"<div>A network outage is ongoing. The team has identified the faulty BGP route causing the disruption and a traffic-rerouting workaround is available, but the permanent fix takes 48 hours. What is the correct record classification at this point?</div>",Known Error record — root cause confirmed and workaround documented,Change record — permanent fix requires a configuration change,Incident record only — service not yet restored to normal,Problem record only — root cause already identified,Choice 1
Problem Management Easy,Easy,"<div>After identifying five candidate problems in a sprint, a Problem Manager must prioritize with limited team capacity. Which criterion most directly drives impact-and-risk-based prioritization?</div>",Age of the oldest open incident linked to each candidate problem,Business impact severity combined with likelihood of recurrence,Originating team's preference captured in the problem intake form,Number of support engineers available per problem,Choice 2
Problem Management Easy,Easy,"<div>A monitoring system fires hundreds of alerts daily, and the service desk has logged multiple incidents on the same application tier over two weeks. Which trigger source should a Problem Manager use to formally raise a new problem record?</div>",An audit finding flagged during a quarterly compliance review of the same tier,A change request submitted for the affected tier by the development team,A single high-priority incident reported by a VIP user in the affected tier,Recurring incident trend identified through proactive threshold analysis,Choice 4
